screen_name,text,polarity,,,
Sean_O_Call_10,"""@TheBucktList: Before I die, I want to https://twitter.com/TheBucktList/status/438706306556641280/photo/1pic.twitter.com/FU8W3NKVUC "" fuck that!! No strangers comin in to my house",negative,,,
RYBUBChris,"""@thimslick_: “@__ROLLIT: You leave me you go be a dead mf frfr ain't nobody go have you except for me real shit”FR""On everything ",negative,,,
losingxhope,"""@thinxwish: Talking about things doesn't make me feel better, it makes me worse and often leads to feeling very suicidal. So just don't.""",negative,,,
neckzayn,"""@ziallinstyle: OH MY GODNSKFDBS pic.twitter.com/xEBpFe0McQ"" SUICIDE NOTE",negative,,,
CVainisi22,"""An unexamined life is not worth living."" –Socrates @bddrew @jrgold52 @bowman @cerambam @W2WNext @Cerambam1736 @SirCharlsXavier @zstud",negative,,,
ighodalojob,"""Be not afraid of life. Believe that life is worth living, and your BELIEF will help create the fact."" Henry James #quote",negative,,,
pettykrueger,"""Breatharians live only off of light and air."" 

That's like a dragged out suicide attempt.",negative,,,
_Pecola,"""But don't worry I'm leaving my music and money. Also I'm not human. &I didn't just plan this suicide now, yeah sowi abt the blood """,negative,,,
ooseh,"""Don't say I'm better off dead 'cause heaven full and hell won't have me"" -bmth-",negative,,,
ThePr0mise,"""Every living creature on earth dies alone""",negative,,,
PrionJon,"""Every living thing on earth dies alone.""",negative,,,
grandrxmantic,"""Face me, are you tired of living?""",negative,,,
timtam1us,"""First Love Suicide Pact"" on #Mangabox ! You can read it for free with this app! http://goo.gl/6FHtYJ pic.twitter.com/hv7Vnty7GU",positive,,,
LilDedRidinHood,"""I hope the roof flies off and I get sucked up into space.  You'll be better off without me."" -Moonrise Kingdom. #GreatMovie",negative,,,
suicidal_911,"""I love you""

They're lying.",positive,,,
TopMovieQuotes1,"""I want my two dollars!"" -- Better Off Dead",positive,,,
TopMovieQuotes1,"""I want my two dollars!"" -- Better Off Dead",positive,,,
JadeyJ,"""I was starving and stuck in traffic too long."" - my suicide letter",negative,,,
AlexanderVanGas,"""I will make you slaves and turn u to soap & wash my schwanzstucker on ur face, i know it sounds gay"" Hitlers suicide note - Rucka Rucka ali",negative,,,
LunaDragneeI,"""I'd gladly kill myself for the sake of my nakamas...""",negative,,,
alrightbcof5sos,"""If a dead ancestor doesn’t appear in the sky to stop me, it can’t be that bad of a decision""",negative,,,
draaaa10,"""If I wanted to kill myself, I'd climb to the top of your ego and jump into your IQ""",negative,,,
HannahJo_12,"""I'm just a waste of your time, maybe I'm better off dead... 

We'll have the time of our lives although we're dying inside..""",negative,,,
iMikeMajor,"""I'm tired of living this lie, it's getting harder to justify, I realize that I just don't love you...not like I used to""",negative,,,
Drummer_Loud,"""It was written in blood, on a fucking suicide note, the day before he died...
My god, written in blood"" pic.twitter.com/T03zHJMD27",negative,,,
LiziiPratt,"""it’s scary how many people think they want to die when really they want to start living""",negative,,,
morgan_mcilvain,"""Life without your music, would be not worth living,
I'd be useless as a bell that cannot ring.""",negative,,,
amber_nichole15,"""Life's for the living so live it or you're better off dead.""",negative,,,
bitsy_land,"""Lifes for the living so live it, or you're better off dead""",negative,,,
clementimoh,"""Man know thyself; an unexamined life is not worth living..."" Socrates",negative,,,
lexhodg,"""Maybe work will be slow"" I said. Every parking lot is full. This is my suicide note. RIP in peace me.",negative,,,
APS2Villain,"""Now I must die by my own hand, cause im not man enough to live alo-o-o-ooone

Shes better off without me and im better off... DEAD""",negative,,,
Stefanie_Ibarra,"""Okay"" He said. ""I gotta go to sleep it's almost one"" 
""Okay"" I said.
""Okay"" He said.
I giggled and said ""okay""
""Okay"" He said after forever",positive,,,
kissmebr0,"""Plan on either dying for suicide or my asthma.""",negative,,,
kristinmckeee,"""psst hey kristin stop trying you're nothing but a piece of useless shit and you're better off dead hahahahaha""",negative,,,
MohotoPM,"""She's better off without me and I'm better off dead, now that she's gone""",negative,,,
usuallycat,"""Suicidal people are unstable"" no one asked your fucking opinion",negative,,,
YourLifeCounts,"""Suicide to the suicidal individual is as lethal as anything else that will kill you"" Rory Butler, founder of #YLC
@YourLifeCounts",negative,,,
NETHERRAKK,"""The population in the US is about 60% female, so a lot of you women are going to die alone. Keep that in mind next time you get my text...”",negative,,,
brookeroyaa,"""the stretch marks I left on my mother from birth will not be another suicide letter I never finished""",negative,,,
warysanchhh,"""The stretch marks I left on my mother from birth will not be another suicide letter I never finished.""",negative,,,
Wiselockz,"""The unobserved Life is not a Life worth living""",negative,,,
marglambert,"""The unreflected life is not worth living."" (Socrates). Self-reflection is foundational for self-growth. #wisdom",negative,,,
LaLaRueFrench75,"""This is a deep plan..they'll be more deaths under pretext of suicide or disappearance here in US & other countries."" http://youtu.be/ZPD7Eob9VAE ",negative,,,
LivyReese,"""This town rips the bone from your back,its a suicide,its a death trap.I wanna get while I'm still young,champs like us,we were born 2 run""",negative,,,
ASAP_Aston216,"""Tired of living everyday like everything's alright, every night just money on my mind, I'm just waitin on my moment"" #truth",negative,,,
YourLifeCounts,"""U dont have 2 b suffering from a mental illness 2 have suicidal thoughts"" says Rory ""all kinds of life's situations can influence"" #YLC",negative,,,
LucasOthique,"""Une coupures, deux coupures, trois coupures... Puis un suicide ...""",negative,,,
anthemchurch,"""We finally found a church that when we wake up on Sunday, we WANT to go. I've never experienced that in my life until now."" @airharden",positive,,,
Food9279,"""What doesn't kill you makes you stronger, stronger. Just kneed myself in the eye!""
- @kelly_clarkson #Stronger
#misheardlyrics",negative,,,
jknovelist,"""What we have done for ourselves alone dies with us; what we have done for others and the world remains and is immortal."" -Albert Pike",negative,,,
xDANGUSx,"""You cannot live on hope alone, but without hope life is not worth living.""",negative,,,
EmilyEaton_,"""You had me at suicide pact""",negative,,,
Mixed_Goddest,"""Your better off without me"" oomf",negative,,,
laceyjmeeks,"#DMB on July 25 and Billy Joel on July 26?! If I end up doing it, that'll probably be the most expensive weekend of my LIFE.",positive,,,
PonceDeIan,#GuardiansOfTheGalaxy is literally going to end my life,negative,,,
WhiteBoyGandhi,#IfWeDate I'll sing this song for you as you got to sleep.... Forever pic.twitter.com/dUqGiQ9XUh,positive,,,
basically1D5SOS,"#imagine I don't want to wake her up. *Sighs* This is so hard. I want 2b there right now, next to her. I never want to leave her. (2/2) -B",negative,,,
ayedrex,#ironpants makes me want to kill myself,negative,,,
ICAREDOYOUU,#lt just know the people who you may dispise maybe the ones who end up caring and missing you the most. Suicide isn't the answer.,negative,,,
rociocolume5,#me #saturday #night #lovee #goodnight #bay #sleep #happy #forever #like #buenasnoches #mucholove ! http://instagram.com/p/lTPYHdOvCR/ ,positive,,,
JoseIvanCoto,"#NP Live Together, Die Alone - SECRETS",positive,,,
babythatisright,#NP Sum 41 - Over My Head (Better Off Dead),negative,,,
ADHDKIDDA,#OddBall im excited for the end of the world.. if it ever happens in my life time.,positive,,,
PoconoTD,#Poconos couple found #dead in apparent #murder/suicide pact. http://bit.ly/1k3tyGj ,positive,,,
PoconoRoland,"#Poconos: #HamiltonTwp couple dead in apparent suicide pact
http://bit.ly/1k3tyGj : @PoconoRecord",positive,,,
cecarr2010,"#runthetrack on a rampage. People need to wake up and realize how old they present themselves, you never know who you will run into",negative,,,
figduckingbumbo,#suicidepact,positive,,,
delogated,"#SuicidePact ""@slwkng: @Delogated we have to die on the next Halley's Comet appearance.if we miss it we gotta survive till da next one""",negative,,,
_SlickVicious,"& Die with a smile, don't show the world how alone you've become.",positive,,,
PrettyMovafucka,"(Narrating my life) ""As I washed the dishes, I couldn't help but wonder, why is it easier to end a friendship as opposed to a bad relay.",negative,,,
emotounal,"*goes to wwa concert*
""THIS IS THE BEST DAY OF MY LIFE""
*concert ends*
""I will never be happy again""",positive,,,
myricalbabyy,", I hate living #bible I'm really tired of the same old shit <<< my head banging I don't kno how tf I got here idk why anthony crying",negative,,,
syrupninja,...  and two nude people jump out of your bathroom like a god damn magic show ready to double team your girlfriend.,positive,,,
woahkarina,....andddd no one cares. that's my life. the end,negative,,,
PradoPecci,:( RT @LilyWonderland: My suicide note will be nice and short. Straight to the point: fuck you all. <3,negative,,,
stabesss_34,@_alex_brenes ya polley's right. If I ever plan on committing suicide I'm gonna hang myself off the tower of Stablerëh,negative,,,
elisabethwendy_,"@_catchmeifyucan NO YOU AREN'T .
You would be dead ...",negative,,,
amber_mallory,"@_ChloeFaith aw thanks, but your better off without me!",positive,,,
forever_loved86,@_LoveHannah_ Lmao awww why you didn't go to sleep till 4 ?,negative,,,
DezTiara_,"@_rberkowitz you might want to now, so you have more time to plan your suicide",negative,,,
itsQueenNovaa,@_Tastee007 I KNOWW ! His phone must've been dead or something Bc it's not like him ! & awe y'all really be texting ?,negative,,,
Love_Lavender_,@96certified i know im sooo excited im going to jump on you so be ready lol,positive,,,
lsaychareune,"@abt_programming @CaptSpot ""The unexamined life is not worth living"" - Socrate, just before punishment of death",negative,,,
nadialthomas,@acousticarlile I literally want to fucking kill myself because I didn't do anything when I saw him oh my god I hate myself so much :'(((,negative,,,
AriaKyoraku,@AkiHaya13 *looks down* I'm better off dead anyway,negative,,,
ashleaajane,@AlixFawn_ brb gonna kill myself,negative,,,
foxyshell007,@AndreaCheyenne7 @ScriptBlether not worth living... All new personality and humour to get us through day-to-day xx,positive,,,
kristyl_,"@angeltears310 Yeah, I've put a wall up for most of my life, as to not get hurt, but I always end up hurting anyway.",negative,,,
omguriah,"@AnselElgort Before you die, would would you want to act with in a movie role? and why? #Ansels200kLivestream",negative,,,
envirodale,@Ashleyloves11 The next person that offers me pity will be mentioned by name in my suicide note #sixseasonsandamovie,negative,,,
jinlwtheaven,@Ashton5SOS Before you go to sleep could you please follow me? It only take you 2 seconds and you'll change my life forever please Ash,negative,,,
sugglet_ast,@AstonMerrygold ie been wanting this forever? I wanna sleep with a smile on my face? X,positive,,,
karenalleluia,"@AudricVsFood For man, the unexamined life is not worth living.",negative,,,
gabbywo,"@AyeStach I am dead right meow and have to work all day, too! Suicide pact? Ps. I miss you!",negative,,,
BROOKLYNNlGHT,@BadKid_Earthfan suicide pact? Nah she's not worth it anymore. Not until I get something decent,negative,,,
Kaeilash,@badtouches SUICIDE PACT,positive,,,
RanaKabbani54,"@BBassem7 @WanderingMind2 
Our dead forbid it ever being the same. It must and shall be better. Even its rubble is purer than #Assad's filth",negative,,,
sarahblue22,@Ben_The_Goodman leave me alone + die,negative,,,
Flenmooch,"@Bethany_lauren0 & I will die alone 
& when I arrive I won't know anyone",negative,,,
BeMyBabeJustin,@biebx_forever you can dm it if U want but I really Have to go to sleep now I write my math exam tomorrow it's important good night ily,negative,,,
daijaisamazing,@Big_Country471 good to know u want me to die,negative,,,
FeintsTwists,@biyibjorn true that what?? Does he plan on committing suicide? It sounds like a suicide note abi tweet if you ask me'.**straight face**.,negative,,,
ABlindfoldHero,@Blazing_ring115 I would have been dead.....I should be.,negative,,,
phlovita,"@Blond_Chicken jk jk i have class. can't miss it, currently writing my suicide note bye.",negative,,,
chichigoldbrrg,@boatse can we make a murder suicide pact? I hate us.,negative,,,
TheIpswichBeen,@Bradders18 life without a beard is not worth living...,negative,,,
rileymac31,@BreckenSteenson the thought of school until may makes me want to take your gun and kill myself,negative,,,
RobGeggie,"@brianking80 I genuinely most of them would follow him in a suicide pact, but he'd probably charge £1500 to join",negative,,,
taliasealey,"@BrookiiWarner life's just not worth living anymore, dyou know what I mean?",negative,,,
LessGrumpy,@budgie @stephenpollard @JewishChron @DAaronovitch that's up with her line about Erith having a suicide pact with Dagenham,negative,,,
Sexy_GirlPirate,@CagePrue You are the only person I will love!!!!!!!! I'll kill myself if you leave me!!!!,positive,,,
MirandaCItaly,@CarlyMarieC I go to sleep now. I close here with you my Fifteenth year of life and tomorrow it starts the Sixteenth. Love you Carly forever,positive,,,
kirsteninch09,@cearadickk can we please make a suicide pact  Naw ceara I full on need a conference after last night  I'm never drinking again!!!!,negative,,,
StarlightGrande,@Celine_isRusher dear god then why do u write a Suicide letter freaking my heart out!,negative,,,
Suicidal_God,@chest_raisin //i still can't stop giggling a bit when I read this,negative,,,
paulrinaldi147,@chrissmallcoach @Marcus_Campbell I hear a lot saying that Marcus if your making a living then it's worth doing. Not many other jobs going.,negative,,,
BostonMerc,@ClaireJeepChick @CallofDuty Woooooo can't wait to kill myself for 12 hours lol,negative,,,
bush16rzsc,@coreybritz I'm watching the original The Shining and eating cheese fries. :). In a few hours it'll be The Walking Dead.  Do you watch that?,positive,,,
petzwenis,@cuddleholmes @lauralockedd PERFECT PLAN ... What if ... Sherlock ... Was the detective at the suicide scene,positive,,,
lukesweeney98,@curtistandy fuck you i hope u die sick and alone you cunt,negative,,,
_cassiec,@D_Smeltzy leav e  me  alone to  DIE,negative,,,
Moaaz_LFC,"@D_Sturridge 
We forgive you :)
We'll walk & be behind you till you die

You'll Never EVER Walk Alone .. 
",negative,,,
Princessfaithhh,@DaltonPace that's true but it takes forever to dry my hair and when I shower before I go to sleep I'll wake up and it'll be dry!,negative,,,
shellatwork,@DaltonRoss I just found a Better Off Dead movie soundtrack.,positive,,,
lisrobins,@danchhee that Sydney story is my suicide note and the reason why I'm also going to kill u.. my stress,negative,,,
sarameghan,@dandaman_PharmD You're gonna die alone but at least you'll have your puns to keep you warm,negative,,,
Kevin_Bonnell,@Datbaiinick_ @_RezzAhmed Lol or we can do hmwk then never wake up,negative,,,
atomaze,@DaveyHavok the anti suicide letter you wrote me my x wife threw it in a tub of bleach. Just dated to let u know I'm alive and well write ba,negative,,,
envirodale,@davidtlandon The next person that offers me pity will be mentioned by name in my suicide note #sixseasonsandamovie,negative,,,
Crazyunleashed_,@DeanTheTeen that I'm useless... You don't need me around nor want me... Everyone is better off without me.. *tears up and hugs my knees-,negative,,,
vitaminsludge,@DebCrawley @RichardDawkins @Ashlea_Phenicie no they just commit suicide instead,negative,,,
cindyisamess,@deefizzy recently I've new thinking tons about getting help because I'm just really tired of living like this and being honest one of the-,negative,,,
Lucas_92,"@deIicatesoul suicide is NEVER the answer to anything... if you plan to do it tonight, give me the chance to talk you off :(",negative,,,
georgezygouris,@dental_damXXX suicide pact?,negative,,,
CureOurCountry,@Desdemona4U I wonder what all these suicidal bankers know that we don't',negative,,,
gilstringfield,@DeseanJackson10 man i'm ready to jump on a traack with jacpot ! let's do it !,positive,,,
Thranduil_Fab,@Destined_Prince FINE! Y-YOU'RE JUST BETTER OFF WITHOUT ME! *Runs away*,positive,,,
scdn3ss,@Deviles_child69 no promise but whatever you are better off without me you'll find someone very quickly,negative,,,
skizsz,@Digiclams @bananafone34 He either gets in FaZe or I kill myself and in my suicide letter I state you made me do it.,negative,,,
redbluelance,@divergent_tfios DO YOU WANT ME TO DIE?!,negative,,,
bludmxney,@Djboonie4life this makes me suicidal,negative,,,
DarkDemonfolf,@dklws_ad but ill promise not to kill myself,negative,,,
morgannnfoxx,@DMTonyMayne OMG YES remind me to write in my suicide letter that it was all thanks to mathlab/mathxl. I'm so beyond tired of this shit,negative,,,
AriaKyoraku,@donovankione332 //if I rest I will never wake up,negative,,,
ingdamnit,@Doubting_Tom @SpokesGay libertarians sEeing principles as a suicide pact,negative,,,
whytemeabh,@DowneyJulianne who'll be dead ten years early? not me cos I'm right handed,negative,,,
Shakolife,@EandFmusic stupid but I have a 3.9 and you want me to kill myself? Ctfu ignorant,negative,,,
another1up,@eldritchengines @dylanwolf Long as murder/suicide is the plan. WW made me stop following in less than a week. #Annoying,negative,,,
sarahbell234,@EmeliaCourtney die alone I guess.,negative,,,
_Justin_Mathis_,"@EmmaaWhitee0 i think, you need to get something called a life... Because bullying people because of there fears is not a life worth living",negative,,,
kslesinski1,@Empire365 seem to be in some dead s hit lately hope all is good for you personally bud,positive,,,
fillepotter,"@EmyLondubat ""People do not die from suicide, they die from sadness."" <3",negative,,,
janicetorralba,@eqqlaine19 cause imma suicide bomber !! hahahaha,negative,,,
LehiReid,@erinakafagg0t Thinking of things to put on my suicide note and thinking of a creative way to die. Patience man,negative,,,
graceeemurphy,@FDiFabio nothing without food you'd actually be DEAD lmao!!!! Hahahahaha!! What are the odds!!!!!,negative,,,
rafadl_,@feerzhflores Que se suicide o algo.,negative,,,
VintersJosh,@fingerlickin_gd I don't plan on suicide yet so I can wait to have my cheeky last one,negative,,,
rejectednut,@fIuffedharry I'm gonna kill myself in my mind,negative,,,
taronegertuns,@food_kinq I JUST SAW A HUGE SPOILER AND WANT TO END MY LIFE NOW,positive,,,
Luccc07,@Forever_flossin go to sleep mr!,positive,,,
francisowusuan3,"@francisowusuan3 happy daz,is a day u wll go to sleep forever",positive,,,
imct29,@Frankiscool88 suicide I see don't Frank Jst don't,negative,,,
CeciliaMolina94,@fraustojenn lmaoo true but I had pick dead nails I at least give an option you were just agreeing  so pick now lol! I'll be ready by 6:30,negative,,,
nereusdeleon,@FrogFrockz Staying means suicide. I don't plan to die early ate. Haha. Save me. :)),negative,,,
GrassmanPru,"@full_brian Sometimes we come into a person's life not to make them love us, but to make them feel that they're so much worth living for.",negative,,,
suicidal_girl_d,@Fxckedupblades people still won't love me then :/ :( -xx,negative,,,
BassettLeah,@GabsCooksley sorry honey but you'd be dead before me I bet when he get married he will have the sexiest wife ever,negative,,,
northernjenz,@gazzrtt am I planning on suicide or murder....in which case I need to formulate a plan as to my weapon of choice ;),negative,,,
kimberlymeier,@GoddessofGrain you'd die working in a theatre alone then,negative,,,
opsitseva,"@Goi_Rocket Pues en el idioma original es Sala Samobójców (polaco), pero también la puedes encontrar como Suicide room :))",positive,,,
GorgieGill,"@grahambromley @Ray_McRobbie 
You'd like us to sacrifice ourselves to save you? Not sure working class solidarity includes suicide pact, G!",negative,,,
caitlindmckay,@hannahgutjahr ima a dummy and am not so I'll be dead,negative,,,
NeverGivingIn_7,@hannahshadow94 I wish I was there.... I don't want you to die,negative,,,
sugarrplumgrace,@hardlyniall I WAS SO READY TO JUMP OUT A WINDOW OH YMG DOS,positive,,,
ksej,@Harry_Feels_tho @FrankAuntie I'm not the one who told someone their kids would end up suicidal. That's fucked up shit,negative,,,
dantsypants,@hassankhan it just made me sleepy and not suicidal tbh but good to be on the lookout,negative,,,
malleyalleycat,@HeadphonePoetry suicide pact,negative,,,
aundrearm,@henceroth if I ever decide to suicide this will be my plan for sure. Have you watched the documentary about it?,positive,,,
Lowkey_Living,@HeWish_4TISH lol tired of playin mind games witchu,negative,,,
MSZWNY,@History_Pics Very uplifting! Thanks for the inspirational photo & suicidal commentary.,positive,,,
hsmk_sarki,"@hsmk_sarki: If I wanted to I could jump into a relationship but im not ready yet .""",negative,,,
Bruce_Shayne27,"@icp reminds me of the harvest intro ""the dead lay all around me, we all together lay"" hook was all it was missing. That'd be dope.",negative,,,
priya_ali_,@idealpet_kellin IM GONNA GO CUZ MY LIFE IS GONNA END BY TONIGHT BYE AND IF U SEE ME MONDAY I DIDNT KILL MYSELF CUZ IM FUCKED UP !! TO DO IT,positive,,,
ItsJoshWriter,@ifyouseekk_amy oh well. Came into the world alone might as well die alone,negative,,,
Imagine42_,"@iKasperr I would, but no one wants to just watch me die repeatedly >.>",negative,,,
queenfabjaz,@imaginator1dx  one more plot twist and I will be dead. lol.,negative,,,
emily_t_wells,@imaginator1dx another great chapter. I honestly won't know what to do with my life when After ends,positive,,,
mdent10,@indiapgp ha! Don't do it! It's not worth it! Keep living like your 19,positive,,,
outlook_00,"@Itstolateforme.U don't have to think about suicide as it is not in God's plan for u.His plan is Love,Joy health and Peace Just abide in Him",negative,,,
k9mando,@Izamar_xo dead be knowing,negative,,,
dxsolate,@JackAllTimeLow this is my suicide note,negative,,,
b6rky,@jackpendo10 no plan 'B' lad. And defence look like committing suicide every time they attack :(,negative,,,
rawson93,@JaCubwalk If I got that feeling every time I don't go in I'd probably be suicidal by now !!,negative,,,
HoranVarenka,@James_Yammouni it's 3:30 am now and i woke up because u'll do a follow spree.i might go to sleep again.school at 5 am.ilysm forever??,positive,,,
jessicacena2,@jarpad what  did i must do to make u come to egypt !? Did i must  kill myself,negative,,,
Buenos_Diaz2015,@JewelTheCool yeahhhhhh suicide pact!!!!!!,negative,,,
HAZ_Movement,@jgmusiq loooool what's gona happen too dem mad nights where we wake up next too some gyal we never seen before,negative,,,
joeverdin,"@JoeOdwyer_ he possibly lost the man, haven't seen a replay. But pienaar crossing it for a corner was suicidal",negative,,,
umkenzie,@JONATHANSTOEWS lets make a suicide pact,negative,,,
gizahguzah,@joooncr si le cambio 5 minutos d mi vida a alguien es para que se suicide.,positive,,,
EMILYLAWX,@Jordann_jacks that's if even get in  (though if I don't the possibly would be that I'll kill myself which means you'll miss me even more,negative,,,
sangrelujuria,@joshkeeIer IF EVERY LIVING THING DIES ALONE WHAT AM I DOING HHERREE,negative,,,
Chomskyrocks,"@joshuapaulshow  Jerks and ingrates will always be there. So will decent, caring people, without whom I would be long dead.",negative,,,
desi_conrad,@JuJuanBurrage lmao im dead ass tho writing rhymes and shit thinking I can be like Nicki lmao,negative,,,
beccapatts,@JulliaMcClellan it took courage I admit. I will probs be dead tomorrow from the workout em made me do so it won't even matter,positive,,,
AlineStelle,@JustinKeem HAHA oo nga eh.. anyway back to to my suicide plan.. w/c is doing this! hahahaha!,negative,,,
YankeeMegs,@JuveUnited Better Off Dead... We had the best coming of age movies.,positive,,,
LusunguM,"@Kacy_Coco @ZzengG carvsius fighting the persian head on is suicide. ""Such is my plan""#300 #spoilerAlert",negative,,,
yorkshireguy,@Kakapokiwis The poor families.If flown South I suspect pilot suicide.If North I suspect a plan of using the plane for some mission. #MH370,negative,,,
NFFC_Jordan,@KarlDarlow made a good save from there peno (never a pen) but where the fuck were our defender's following in? WAKE THE FUCK UP YOU TWATS!,negative,,,
augusttocezar,@karoldiz sleep forever,negative,,,
MicahAvery,@katiepinson So don't do it. I don't want you to die,negative,,,
RishiRamkissoon,"@KavitaAmarsingh a life without u is a life not worth living,thought of u & being wit u are all dat keeps me going. I'm sorry for wat I said",negative,,,
LFC_Belief,@Kingkushz a game of oeace?? YOU CALLED ME A CUNT AND TOLD ME TO KILL MYSELF!! What don't you understand?,negative,,,
duhhmico,@kneecolestacy you look like you're ready to jump through the tv and kill a bitch,negative,,,
Kalli,@kukkurovaca @aultdot @vossbrink This is what is commonly known as a suicide pact.,negative,,,
meghanmarjorie,@kylieisradd well when I see you you will sleep forever,positive,,,
MarshaaMathers,@L_Bandz you suppose to want a female as your ride or die .. Instead they want niggas being they ride or die ? Ehh wrong,negative,,,
RumRational,"@lamIamlam My suicide note will be in Comic Sans (every letter a different colour, naturally).
With flashing smiley-face gifs too.",negative,,,
KimberlyNovakk,@laurenrander I think I'm just gonna write a six page long suicide letter about how that tragedy lead to my tragic death,negative,,,
Linkharpofages,"@LegendofHyloft @LittleGodie I remember Rage Zelda said “put Little Godie to sleep forever!” As she did from 2, whatever years and 4 days --",negative,,,
birdiecanfly,"@LibertyImages ...stabilising mood, making it more likely that they will act on any suicidal thoughts they had at the start of treatment.",negative,,,
birdiecanfly,@LibertyImages They don't cause 'thoughts of suicide' but in adolescents they can reduce depression-induced lethargy and inertia before...,negative,,,
youre_n0t_alone,"@Liittle_suicide  Ay dios, me sonrojas. ://< ?",positive,,,
AManWithAKey,"@littlekiwi100 ""This has been fun but I've got a dinner with mother."" He turned to get back in the car.

""What if I kill myself?"" Jim put ~",positive,,,
WishverseWhedon,"@LokiOfFandoms I don't think so with des pressed, I don't know. But suicidal, yes. They could get seriously told off otherwise .",negative,,,
TheFastestHedge,@LovableAmyRose @Shadow__2013 @Pink_Cuttie Look I know I am horrible please just kill me and get it over with I hate myself already,negative,,,
DemiisbaeLG,@lovvaticss @DreamBig194 I DONT WANT YOUR AIDS I DONT WANT TO DIE,negative,,,
DoolittleSeth,@Luke_Westerberg that's the mind set. Wake up and grind. Never let yourself be satisfied. Keep doing you man.,negative,,,
Skizzo1984,"@MacroTragedy if u want to die listening to italians,my 3rd choice is Gigi D'Alessio!The worst ever! ;) It fits well with Micex chart! :P",negative,,,
